Item;Alнquota IRRF;Alнquota CCP;Alнquota CSLL;Alнquota PIS;Alнquota COFINS;Alнquota INSS;
17.02;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
17.03;1,50%;4,65%;1,00%;0,65%;3,00%;;
17.04;1,50%;4,65%;1,00%;0,65%;3,00%;;
17.05;1,00%;4,65%;1,00%;0,65%;3,00%;11,00%;
17.06;1,50%;;;;;11,00%;
17.09;1,50%;4,65%;1,00%;0,65%;3,00%;;
17.10;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
17.11;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
17.12;1,50%;4,65%;1,00%;0,65%;3,00%;;
17.13;1,50%;4,65%;1,00%;0,65%;3,00%;;
17.14;1,50%;4,65%;1,00%;0,65%;3,00%;;
17.15;1,50%;4,65%;1,00%;0,65%;3,00%;;
17.16;1,50%;4,65%;1,00%;0,65%;3,00%;;
17.17;1,50%;4,65%;1,00%;0,65%;3,00%;;
17.18;1,50%;4,65%;1,00%;0,65%;3,00%;;
17.19;1,50%;4,65%;1,00%;0,65%;3,00%;;
17.20;1,50%;4,65%;1,00%;0,65%;3,00%;;
17.21;1,50%;4,65%;1,00%;0,65%;3,00%;;
17.22;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
17.23;1,50%;4,65%;1,00%;0,65%;3,00%;;
17.24;1,50%;4,65%;1,00%;0,65%;3,00%;;
17.25;;;;;;11,00%;
18.01;1,50%;4,65%;1,00%;0,65%;3,00%;;
19.01;1,50%;;;;;;
20.01;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
20.02;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
20.02;1,00%;4,65%;1,00%;0,65%;3,00%;11,00%;
14.03;;;;;;11,00%;
14.04;;;;;;11,00%;
14.05;;4,65%;1,00%;0,65%;3,00%;11,00%;
14.06;;;;;;11,00%;
14.07;;;;;;11,00%;
14.08;;;;;;11,00%;
14.09;;;;;;11,00%;
14.13;;;;;;11,00%;
14.14;;;;;;11,00%;
15.01;1,50%;4,65%;1,00%;0,65%;3,00%;;
15.02;1,50%;4,65%;1,00%;0,65%;3,00%;;
15.03;;4,65%;1,00%;0,65%;3,00%;;
15.04;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
20.03;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
22.01;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
23.01;1,50%;4,65%;1,00%;0,65%;3,00%;;
25.03;1,50%;;;;;;
25.04;1,00%;4,65%;1,00%;0,65%;3,00%;;
25.05;1,00%;4,65%;1,00%;0,65%;3,00%;11,00%;
26.01;1,00%;4,65%;1,00%;0,65%;3,00%;11,00%;
27.01;1,50%;4,65%;1,00%;0,65%;3,00%;;
28.01;1,50%;4,65%;1,00%;0,65%;3,00%;;
29.01;1,50%;4,65%;1,00%;0,65%;3,00%;;
30.01;1,50%;4,65%;1,00%;0,65%;3,00%;;
31.01;1,50%;4,65%;1,00%;0,65%;3,00%;;
32.01;1,50%;4,65%;1,00%;0,65%;3,00%;;
33.01;1,50%;4,65%;1,00%;0,65%;3,00%;;
34.01;1,50%;4,65%;1,00%;0,65%;3,00%;;
35.01;1,50%;4,65%;1,00%;0,65%;3,00%;11,00%;
36.01;1,50%;4,65%;1,00%;0,65%;3,00%;;
38.01;1,50%;4,65%;1,00%;0,65%;3,00%;;
